system:index,0_Rain_jun-oct_2019,0_Temp_jun-oct_2019,1_Rain_may-sep_2019,1_Temp_may-sep_2019,2_Rain_jun-oct_2020,2_Temp_jun-oct_2020,3_Rain_may-sep_2020,3_Temp_may-sep_2020,Map,UNIQUE_ID,elevation,lat,lon,.geo
643,973.6810302734375,30.758508682250977,659.705810546875,31.819055557250977,1075.910400390625,31.5552921295166,1044.301025390625,32.042381286621094,20.0,643.0,76.0,10.325,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.325000000000001]}"
644,996.8660888671875,30.758508682250977,669.01220703125,31.819055557250977,1018.1693115234375,31.5552921295166,983.476318359375,32.042381286621094,20.0,644.0,82.0,10.345833333333333,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.345833333333333]}"
645,996.8660888671875,30.758508682250977,669.01220703125,31.819055557250977,1018.1693115234375,31.5552921295166,983.476318359375,32.042381286621094,10.0,645.0,104.0,10.366666666666665,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.366666666666664]}"
646,974.0846557617188,30.758508682250977,662.4031372070312,31.819055557250977,948.4070434570312,31.5552921295166,919.4166259765625,32.042381286621094,20.0,646.0,136.0,10.3875,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.387500000000001]}"
647,974.0846557617188,30.758508682250977,662.4031372070312,31.819055557250977,948.4070434570312,31.5552921295166,919.4166259765625,32.042381286621094,10.0,647.0,115.0,10.408333333333333,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.408333333333333]}"
648,974.0846557617188,30.758508682250977,662.4031372070312,31.819055557250977,948.4070434570312,31.5552921295166,919.4166259765625,32.042381286621094,40.0,648.0,99.0,10.429166666666665,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.429166666666664]}"
649,974.0846557617188,30.758508682250977,662.4031372070312,31.819055557250977,948.4070434570312,31.5552921295166,919.4166259765625,32.042381286621094,20.0,649.0,101.0,10.45,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.45]}"
650,974.0846557617188,30.758508682250977,662.4031372070312,31.819055557250977,948.4070434570312,31.5552921295166,919.4166259765625,32.042381286621094,20.0,650.0,90.0,10.470833333333333,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.470833333333331]}"
651,957.699462890625,30.758508682250977,676.5533447265625,31.819055557250977,892.1640014648438,31.5552921295166,868.9066772460938,32.042381286621094,20.0,651.0,87.0,10.491666666666665,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.491666666666664]}"
652,957.699462890625,30.758508682250977,676.5533447265625,31.819055557250977,892.1640014648438,31.5552921295166,868.9066772460938,32.042381286621094,40.0,652.0,87.0,10.5125,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.5125]}"
